"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7135","CT05 - Validate error messages when creating a duplicate email","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct05_duplicateEmailValidation"
"","1974","CT10 - Use variables for dynamic validations","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct10_useVariablesForDynamicValidations"
"","7857","CT04 - Login and use token to access a protected resource","","2026-02-23","passed","2026-02-23","","restassured.login.LoginRestAssuredTest","restassured.login.LoginRestAssuredTest","ct04_loginAndUseTokenInProtectedRoute"
"","7269","CT05 - Validate invalid email format CT05 - Validate invalid email format: email","","2026-02-23","passed","2026-02-23","","restassured.login.LoginRestAssuredTest","restassured.login.LoginRestAssuredTest","ct05_validateInvalidEmailFormat"
"","2067","CT03 - Validate required fields on login CT03 - Validate required fields on login","","2026-02-23","passed","2026-02-23","","restassured.login.LoginRestAssuredTest","restassured.login.LoginRestAssuredTest","ct03_validateRequiredFields"
"","8341","CT13 - Restrict product creation to administrators only","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct13_restrictProductCreationToAdmins"
"","1684","CT08 - Validate formats with regular expressions","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct08_validateFormatsWithRegularExpressions"
"","1259","CT04 - Advanced JSON validations with filters","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct04_advancedJsonValidationsWithFilters"
"","4686","CT02 - Cancel purchase and return products to stock","","2026-02-23","passed","2026-02-23","","restassured.carrinhos.CartsRestAssuredTest","restassured.carrinhos.CartsRestAssuredTest","ct02_cancelPurchaseAndReturnProductsToStock"
"","6456","CT08 - Prevent cart creation with non-existing product","","2026-02-23","failed","2026-02-23","","restassured.carrinhos.CartsRestAssuredTest","restassured.carrinhos.CartsRestAssuredTest","ct08_preventCartCreationWithNonExistingProduct"
"","432","CT05 - Validate invalid email format CT05 - Validate invalid email format: 12345@test.c","","2026-02-23","passed","2026-02-23","","restassured.login.LoginRestAssuredTest","restassured.login.LoginRestAssuredTest","ct05_validateInvalidEmailFormat"
"","532","CT05 - Validate invalid email format CT05 - Validate invalid email format: !@#$%","","2026-02-23","passed","2026-02-23","","restassured.login.LoginRestAssuredTest","restassured.login.LoginRestAssuredTest","ct05_validateInvalidEmailFormat"
"","373","CT15 - Get user by invalid ID should return 400","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct15_getUserByInvalidIdShouldReturn400"
"","7369","CT01 - Perform login with valid credentials and validate token","","2026-02-23","passed","2026-02-23","","restassured.login.LoginRestAssuredTest","restassured.login.LoginRestAssuredTest","ct01_loginWithValidCredentials"
"","8983","CT02 - Create a new product as an administrator","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct02_createProductAsAdmin"
"","414","CT05 - Validate invalid email format CT05 - Validate invalid email format: @noname.com","","2026-02-23","passed","2026-02-23","","restassured.login.LoginRestAssuredTest","restassured.login.LoginRestAssuredTest","ct05_validateInvalidEmailFormat"
"","2537","CT13 - Create and delete user based on JSON payload","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct13_createAndDeleteUserBasedOnJsonPayload"
"","267","CT09 - Work with complex JSON data","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct09_workWithComplexJsonData"
"","326","CT03 - Prevent creating cart without authentication token","","2026-02-23","passed","2026-02-23","","restassured.carrinhos.CartsRestAssuredTest","restassured.carrinhos.CartsRestAssuredTest","ct03_preventCreatingCartWithoutAuthenticationToken"
"","701","CT08 - Validate required fields when creating a product CT08 - Validate required fields when creating a product","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct08_validateRequiredFieldsWhenCreatingProduct"
"","1206","CT16 - Prevent updating user with duplicate e-mail","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct16_preventUpdatingUserWithDuplicateEmail"
"","762","CT11 - Prepare data for nested object validation","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct11_prepareDataForNestedObjectValidation"
"","449","CT05 - Validate invalid email format CT05 - Validate invalid email format: emailwithoutat","","2026-02-23","passed","2026-02-23","","restassured.login.LoginRestAssuredTest","restassured.login.LoginRestAssuredTest","ct05_validateInvalidEmailFormat"
"","459","CT08 - Validate required fields when creating a product CT08 - Validate required fields when creating a product","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct08_validateRequiredFieldsWhenCreatingProduct"
"","938","CT02 - Get a specific user by ID","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct02_getUserById"
"","10744","CT06 - Prevent cart creation when product stock is insufficient","","2026-02-23","passed","2026-02-23","","restassured.carrinhos.CartsRestAssuredTest","restassured.carrinhos.CartsRestAssuredTest","ct06_preventCartCreationWhenProductStockIsInsufficient"
"","423","CT05 - Validate invalid email format CT05 - Validate invalid email format: email@nodomain","","2026-02-23","passed","2026-02-23","","restassured.login.LoginRestAssuredTest","restassured.login.LoginRestAssuredTest","ct05_validateInvalidEmailFormat"
"","12004","CT01 - Full cart lifecycle for authenticated user","","2026-02-23","passed","2026-02-23","","restassured.carrinhos.CartsRestAssuredTest","restassured.carrinhos.CartsRestAssuredTest","ct01_fullCartLifecycleForAuthenticatedUser"
"","510","CT06 - Validate with fuzzy matching","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct06_validateWithFuzzyMatching"
"","494","CT08 - Validate required fields when creating a product CT08 - Validate required fields when creating a product","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct08_validateRequiredFieldsWhenCreatingProduct"
"","9034","CT14 - Prevent deleting user that has an associated cart","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct14_preventDeletingUserThatHasAssociatedCart"
"","558","CT09 - Validate absence of fields","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct09_validateAbsenceOfFields"
"","2243","CT03 - Validate required fields on login CT03 - Validate required fields on login","","2026-02-23","passed","2026-02-23","","restassured.login.LoginRestAssuredTest","restassured.login.LoginRestAssuredTest","ct03_validateRequiredFields"
"","3221","CT11 - Create a product from fixed JSON payload","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct11_createProductFromFixedJsonPayload"
"","10869","CT07 - Prevent cart creation with duplicated products in the same cart","","2026-02-23","passed","2026-02-23","","restassured.carrinhos.CartsRestAssuredTest","restassured.carrinhos.CartsRestAssuredTest","ct07_preventCartCreationWithDuplicatedProductsInSameCart"
"","2911","CT10 - Delete an existing product","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct10_deleteExistingProduct"
"","7134","CT01 - List all users and validate JSON structure","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct01_listAllUsersAndValidateStructure"
"","1021","CT03 - Validate error when creating a product with a duplicate name","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct03_duplicateProductName"
"","1494","CT04 - Prevent creating more than one cart for the same user","","2026-02-23","passed","2026-02-23","","restassured.carrinhos.CartsRestAssuredTest","restassured.carrinhos.CartsRestAssuredTest","ct04_preventCreatingMoreThanOneCartForSameUser"
"","300","CT05 - Cart not found by ID","","2026-02-23","passed","2026-02-23","","restassured.carrinhos.CartsRestAssuredTest","restassured.carrinhos.CartsRestAssuredTest","ct05_cartNotFoundById"
"","853","CT03 - Create a new user with complete validations","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct03_createUser"
"","274","CT07 - Attempt to create a product without an authentication token","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct07_createProductWithoutToken"
"","8024","CT03 - Validate required fields on login CT03 - Validate required fields on login","","2026-02-23","passed","2026-02-23","","restassured.login.LoginRestAssuredTest","restassured.login.LoginRestAssuredTest","ct03_validateRequiredFields"
"","11321","CT12 - Prevent deleting a product that is part of a cart","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct12_preventDeletingProductInCart"
"","1827","CT04 - Search for products using query parameters","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct04_searchForProductsWithFilters"
"","199","CT06 - Validate price calculations and comparisons","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct06_validatePriceCalculationsAndComparisons"
"","9287","CT05 - Update information of an existing product","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct05_updateExistingProduct"
"","7118","CT12 - Create a user from fixed JSON file","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct12_createUserFromFixedJsonFile"
"","546","CT02 - Attempt login with invalid credentials","","2026-02-23","passed","2026-02-23","","restassured.login.LoginRestAssuredTest","restassured.login.LoginRestAssuredTest","ct02_loginWithInvalidCredentials"
"","471","CT08 - Validate required fields when creating a product CT08 - Validate required fields when creating a product","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct08_validateRequiredFieldsWhenCreatingProduct"
"","364","CT01 - List all products and validate JSON structure","","2026-02-23","passed","2026-02-23","","restassured.produtos.ProductsRestAssuredTest","restassured.produtos.ProductsRestAssuredTest","ct01_listProducts"
"","1204","CT07 - Conditional validations based on values","","2026-02-23","passed","2026-02-23","","restassured.usuarios.UsersRestAssuredTest","restassured.usuarios.UsersRestAssuredTest","ct07_conditionalValidationsBasedOnValues"
